file,audio_seconds,world_seconds,phase,label,engine_frame,width,height,appearance,role,order,source_commit,bytes,sha256,full_original_viewed,crop_used,actor_observation_frame,visual_observation
"Media/frame_00340.jpg","13.417281702","13.265402701","9","Variant 2 / Explicit living fall and regional query","1260","1600","900","Laboratory","living_fall","11","3d75c2faa0cecef6075f00755d8e4f5dd2562817","94765","7c199debc1059043eb3b35ce92dd3aaea747cb53bd003d928e0216fee83611c4","true","false","1260","Early fall has detached arm/blood while torso remains partly upright; health 81."
"Media/frame_00391.jpg","15.421130903","15.270121600","10","Variant 2 / Actual get-up with absent arm","1450","1600","900","Laboratory","get_up_early","12","3d75c2faa0cecef6075f00755d8e4f5dd2562817","95204","dbafaa015634aeb6772b5aff156ca0bac7e8c9c6cd7b56b710970fc78a9ab387","true","false","1450","Pale-coated body is extended near floor; detached arm beside blood patch."
"Media/frame_00431.jpg","17.013003401","16.860565100","10","Variant 2 / Actual get-up with absent arm","1603","1600","900","Laboratory","get_up_late","13","3d75c2faa0cecef6075f00755d8e4f5dd2562817","94947","57f7e9dcb66b5bcfa966ee4b753bf79e75fc772db15cdab033e55d13e557140c","true","false","1603","Later get-up has pale torso raised with bent leg."
"Media/frame_00453.jpg","17.865510903","17.713453401","11","Variant 2 / Recovered pursuit","1684","1600","900","Laboratory","recovered_pursuit","14","3d75c2faa0cecef6075f00755d8e4f5dd2562817","94584","2d96efdb6db91d1dd0203800401aee43c0c12f322bfd317a66b4818b49b59693","true","false","1684","Pale body is upright with shortened arm silhouette; detached arm remains on floor."
"Media/frame_00478.jpg","18.829699501","18.678758599","12","Variant 2 / Fatal arm loss and corpse cut probes","1773","1600","900","Laboratory","severed_corpse","15","3d75c2faa0cecef6075f00755d8e4f5dd2562817","96478","5171010d87ce9475080900814ee5a103154f0b21db862a86e9e5c41b027ca6de","true","false","1773","Pale torso, detached parts and blood are separate; zero remaining and 280 points displayed."
"Media/frame_00491.jpg","19.359253902","19.206461798","13","Variant 2 / Ordinary presentation cleanup","1825","1600","900","Laboratory","cleanup","16","3d75c2faa0cecef6075f00755d8e4f5dd2562817","91861","0d58d4eae527f4a74144d61d52fa10a387ff4f4e521637eaa9cae54dd02802b4","true","false",,"Body, parts and blood patch are cleared; machines remain."
"Media/frame_00520.jpg","20.452013303","20.299073499","14","Variant 3 / Normal navigation and attack","1927","1600","900","FacilityStaff","approach","17","3d75c2faa0cecef6075f00755d8e4f5dd2562817","96977","752fba60508cb69b0055e681e1e020901625aa25c8ffb067c426215fe519067b","true","false","1927","Darker trousers, grey clothing and dark hair distinguish the approaching Staff appearance."
"Media/frame_00559.jpg","21.963521201","21.811882798","14","Variant 3 / Normal navigation and attack","2070","1600","900","FacilityStaff","attack","18","3d75c2faa0cecef6075f00755d8e4f5dd2562817","96729","4d9eacee8df1ab291e7dc3f41397b754996f527ece62dac29e1beba38aab9143","true","false","2070","Staff is close to player with raised arm and bent opposite arm."
"Media/frame_00568.jpg","22.325493902","22.174180198","15","Variant 3 / Explicit living fall and regional query","2105","1600","900","FacilityStaff","living_fall","19","3d75c2faa0cecef6075f00755d8e4f5dd2562817","95651","d3ff1100608ad5131153fe9358c55907f8d2dcfb7b225b0518d84f6bc06eb19f","true","false","2105","Early fall has detached arm/blood and partly upright torso; health 81 and points 300."
"Media/frame_00627.jpg","24.581364002","24.430564698","16","Variant 3 / Actual get-up with absent arm","2315","1600","900","FacilityStaff","get_up_early","20","3d75c2faa0cecef6075f00755d8e4f5dd2562817","95759","81ca36586c76b4cb810eb1c452ab71a0caaceb2553e98a91722153ccc9ac3065","true","false","2315","Staff body is extended at floor level beside detached arm and blood patch."
"Media/frame_00668.jpg","26.178965300","26.026540499","16","Variant 3 / Actual get-up with absent arm","2467","1600","900","FacilityStaff","get_up_late","21","3d75c2faa0cecef6075f00755d8e4f5dd2562817","95489","79fb7c911e63d7c3affaf86c6e51a1ac72b25650ae555b3bddcc26cbb6fa6cd9","true","false","2467","Later get-up has raised torso and bent leg, retaining missing-arm silhouette."
"Media/frame_00689.jpg","26.996200401","26.844811898","17","Variant 3 / Recovered pursuit","2545","1600","900","FacilityStaff","recovered_pursuit","22","3d75c2faa0cecef6075f00755d8e4f5dd2562817","94960","7e8f137ef0242cc309a922523817b6caec01478539678be697d8d4f5d5e94d3f","true","false","2545","Staff is upright next to detached arm and patch."
"Media/frame_00714.jpg","27.978479400","27.823920701","18","Variant 3 / Fatal arm loss and corpse cut probes","2637","1600","900","FacilityStaff","severed_corpse","23","3d75c2faa0cecef6075f00755d8e4f5dd2562817","96354","04cae782d4ded044853ecaae606d78d39a5a70c623a9a520329141128373d0dd","true","false","2637","Staff torso/parts form a localized cluster; zero remaining and 420 points displayed."
"Media/frame_00727.jpg","28.487588201","28.334964599","19","Variant 3 / Ordinary presentation cleanup","2686","1600","900","FacilityStaff","cleanup","24","3d75c2faa0cecef6075f00755d8e4f5dd2562817","91634","fb38549ac87ead3bf2919a4058bc1bc56de569f43a72b5c6438dc150ea04b79a","true","false",,"Final floor has no visible body, parts or blood patch from the episode; zero remaining displayed."
