frame,path,bytes,sha256,weapon_variant,weapon,trial,driver_phase,audio_seconds,world_seconds,engine_frame,capture_phase,capture_label,width,height,original_individually_viewed,observation
818,Media/frame_00818.jpg,111885,58f1f3ed7942469d78974f0a0a157dcabaecf6dece5e45567b99446a06312f87,2,M4A1,6,14,30.215337198,30.087442398,2722,143,variant 2 / case 6 / phase 14 / explicit collision fixture,1600,900,True,The three struck targets buckle while blood spreads locally; farther two stand.
915,Media/frame_00915.jpg,108433,c82ef8c7e88c9d90a0e4661e6246cce5287eb302b392626632848074217cbacc,2,M4A1,11,14,33.653678499,33.521364301,3028,163,variant 2 / case 11 / phase 14 / explicit collision fixture,1600,900,True,The next three-target scene has already replaced the head-shot target and ammo is refilled to 24. The old head-trial label/award persists briefly; this is not a corpse-persistence observation.
1112,Media/frame_01112.jpg,111603,362e5fd03a545777a47dcc1fbe43a6db8100fae91a0968b1af29e4f7efc37c5a,3,Overcurrent,6,15,40.635338098,40.507708099,3641,195,variant 3 / case 6 / phase 15 / explicit collision fixture,1600,900,True,Overcurrent teal rifle and HUD 36/384 face the line of five.
1114,Media/frame_01114.jpg,112405,b376b3ca3ada75df00f06211f633b31ccdac1a1609b3022014e188a1f4907412,3,Overcurrent,6,14,40.706840601,40.578302201,3647,197,variant 3 / case 6 / phase 14 / explicit collision fixture,1600,900,True,"Teal tracer crosses four targets; ammo 35, one left and points 2040 are visible."
1115,Media/frame_01115.jpg,112374,fa2927856ac2a9d9600ddf46851f56f3b03da305db4870b8257e2ae366ccde94,3,Overcurrent,6,14,40.7424253,40.6139566,3650,197,variant 3 / case 6 / phase 14 / explicit collision fixture,1600,900,True,"After the teal tracer fades, blood appears along the affected row."
1119,Media/frame_01119.jpg,113679,35e24ee16f537c7b055bb6bb99bb77c72e2699c3534c21584a0740e090db73d8,3,Overcurrent,6,14,40.884917401,40.756389398,3662,197,variant 3 / case 6 / phase 14 / explicit collision fixture,1600,900,True,Four struck bodies buckle with localized red particles while the final body remains standing.
1218,Media/frame_01218.jpg,108126,9d07f159683b45a035315546ec7c28b82e7aa0478ae921433c293d45317863bf,3,Overcurrent,11,14,44.2934995,44.166091599,3959,217,variant 3 / case 11 / phase 14 / explicit collision fixture,1600,900,True,Overcurrent wounded-head target buckles with a +130 award; the crosshair partly obscures the head.
1495,Media/frame_01495.jpg,111335,1b4d52a62b3a7bc24b2fa3ee8b48fadf6c4e0cc0c3014b180ee3e60e41a57477,4,Remington 870,6,15,54.520823099,54.391617399,4890,249,variant 4 / case 6 / phase 15 / explicit collision fixture,1600,900,True,Remington 870 wood-stock shotgun and HUD 6/36 face the target line.
1496,Media/frame_01496.jpg,112181,09799433032ec27799a2126048dba4458017dd0d6d2e0836f468f44af166bc97,4,Remington 870,6,14,54.558370799,54.428185299,4893,251,variant 4 / case 6 / phase 14 / explicit collision fixture,1600,900,True,Broad bright muzzle flash and several pale pellet traces strike the first targets; ammo 5 and points 2480 are visible.
1497,Media/frame_01497.jpg,111453,4af36c253584fdb41594a172fff8dc51179db0f9ea6785219dbacadc2ca47f3c,4,Remington 870,6,14,54.5954802,54.465718199,4896,251,variant 4 / case 6 / phase 14 / explicit collision fixture,1600,900,True,Pellet traces have faded; localized blood appears at the first two bodies.
1516,Media/frame_01516.jpg,111255,245020954105c999b4a238af19f06e485e6b134e9f2b5b51c87798328e1906e3,4,Remington 870,6,14,55.296278499,55.167766701,4953,251,variant 4 / case 6 / phase 14 / explicit collision fixture,1600,900,True,"Two dead bodies have folded down near the floor; their white coat and blue workwear remain coherent, with three targets still standing."
1581,Media/frame_01581.jpg,106225,5872a9a4aa8949c3e3f74e7f2bb02fb003ada95615ad3c40d47419c5ba91872b,4,Remington 870,8,14,57.712427698,57.586577799,5171,259,variant 4 / case 8 / phase 14 / explicit collision fixture,1600,900,True,The low-shot Maintenance target is down with a visibly separate severed leg segment and red cut surface; the Low 65 cm label and +110 award remain.
1680,Media/frame_01680.jpg,106255,dd6e7d9117c55b5cc217388ea21e7525dc8b5a6fe453fafcd4e9bd07cd3279c8,4,Remington 870,11,14,61.386706099,61.259885699,5508,271,variant 4 / case 11 / phase 14 / explicit collision fixture,1600,900,True,The wounded Laboratory target is down with a red neck cap and detached head beside the body; the head-height marker no longer covers the cut.
1963,Media/frame_01963.jpg,111435,a49e3a2f91bbcd3174bfdf355ac4f988c69be63a19c047a73d5ef1ed0a2aff5e,5,Gravebreaker,6,15,71.596536599,71.467275798,6416,303,variant 5 / case 6 / phase 15 / explicit collision fixture,1600,900,True,Gravebreaker copper-colored shotgun and HUD 8/72 face five targets.
1964,Media/frame_01964.jpg,112589,a6e9ce59d50b2da5432efb83ec59aa196ba7943535ba29850713d620e3d1bf20,5,Gravebreaker,6,14,71.6332151,71.503909599,6419,305,variant 5 / case 6 / phase 14 / explicit collision fixture,1600,900,True,Orange muzzle flash and multiple pellet traces reach through the first three bodies; ammo 7 and points 3350 are visible.
1981,Media/frame_01981.jpg,110305,ebbd0b850aa61b9967e7d5bbc2a4bbd2fd9a72c48be5e41cbd2b988728002122,5,Gravebreaker,6,14,72.264032599,72.135463499,6470,305,variant 5 / case 6 / phase 14 / explicit collision fixture,1600,900,True,Three dead bodies fold near the floor with different orientations and intact garment silhouettes; the farther two remain standing.
2137,Media/frame_02137.jpg,106139,9e0136fbd06fa8a68f190f9904e0a943655fb67b31882aa628c02bd9b9ea8a31,5,Gravebreaker,11,14,77.655002199,77.526744001,6941,325,variant 5 / case 11 / phase 14 / explicit collision fixture,1600,900,True,"Gravebreaker head-shot aftermath shows a red neck cut and displaced head above/right of the collapsing Laboratory body, with local blood particles."
2138,Media/frame_02138.jpg,106229,f12758a78f2c03d3e843d9612d1df943d88d5fe1a2d240489429049fb6a11efa,5,Gravebreaker,11,14,77.691023398,77.562196799,6944,325,variant 5 / case 11 / phase 14 / explicit collision fixture,1600,900,True,"The adjacent original preserves the separated head and neck cap as body and piece move slightly; this is a short sample, not a full settling review."
