Candidate03 Stage C production weapon presentation
Scripted normal gameplay components; visual and audible approval are separate from these checks.

PASS | Bright/dim comparison uses the existing room lights
PASS | 12-GAUGE PUMP / BRIGHT / SIDEWAYS FIRE | six-variant bank selections do not immediately repeat
PASS | 12-GAUGE PUMP / BRIGHT / SIDEWAYS FIRE | muzzle light expires after firing
PASS | 12-GAUGE PUMP / BRIGHT / SIDEWAYS FIRE | shaped flash expires after firing
PASS | 12-GAUGE PUMP / BRIGHT / DIAGONAL SPRINT / FIRE | at least three actual discharges
PASS | 12-GAUGE PUMP / BRIGHT / DIAGONAL SPRINT / FIRE | existing flash light follows muzzle (max error 0.0000 cm)
PASS | 12-GAUGE PUMP / BRIGHT / DIAGONAL SPRINT / FIRE | shaped flash follows muzzle (max error 0.0000 cm)
PASS | 12-GAUGE PUMP / BRIGHT / DIAGONAL SPRINT / FIRE | shots use this frame's evaluated muzzle (max error 0.0000 cm, stale samples 0)
PASS | 12-GAUGE PUMP / BRIGHT / DIAGONAL SPRINT / FIRE | six-variant bank selections do not immediately repeat
PASS | 12-GAUGE PUMP / BRIGHT / DIAGONAL SPRINT / FIRE | muzzle light expires after firing
PASS | 12-GAUGE PUMP / BRIGHT / DIAGONAL SPRINT / FIRE | shaped flash expires after firing
PASS | 12-GAUGE PUMP / BRIGHT / MOVEMENT / RAPID AIM | at least three actual discharges
PASS | 12-GAUGE PUMP / BRIGHT / MOVEMENT / RAPID AIM | existing flash light follows muzzle (max error 0.0000 cm)
PASS | 12-GAUGE PUMP / BRIGHT / MOVEMENT / RAPID AIM | shaped flash follows muzzle (max error 0.0000 cm)
PASS | 12-GAUGE PUMP / BRIGHT / MOVEMENT / RAPID AIM | shots use this frame's evaluated muzzle (max error 0.0000 cm, stale samples 0)
PASS | 12-GAUGE PUMP / BRIGHT / MOVEMENT / RAPID AIM | six-variant bank selections do not immediately repeat
PASS | 12-GAUGE PUMP / BRIGHT / MOVEMENT / RAPID AIM | muzzle light expires after firing
PASS | 12-GAUGE PUMP / BRIGHT / MOVEMENT / RAPID AIM | shaped flash expires after firing
PASS | 12-GAUGE PUMP / DIM / STANDING FIRE | flash naturally expires before reload cleanup
PASS | 12-GAUGE PUMP / DIM / RELOAD MECHANICAL COMPARISON | at least three actual discharges
PASS | 12-GAUGE PUMP / DIM / RELOAD MECHANICAL COMPARISON | existing flash light follows muzzle (max error 0.0000 cm)
PASS | 12-GAUGE PUMP / DIM / RELOAD MECHANICAL COMPARISON | shaped flash follows muzzle (max error 0.0000 cm)
PASS | 12-GAUGE PUMP / DIM / RELOAD MECHANICAL COMPARISON | shots use this frame's evaluated muzzle (max error 0.0000 cm, stale samples 0)
PASS | 12-GAUGE PUMP / DIM / RELOAD MECHANICAL COMPARISON | six-variant bank selections do not immediately repeat
PASS | 12-GAUGE PUMP / DIM / RELOAD MECHANICAL COMPARISON | muzzle light expires after firing
PASS | 12-GAUGE PUMP / DIM / RELOAD MECHANICAL COMPARISON | shaped flash expires after firing
PASS | 12-GAUGE PUMP / DIM / RELOAD MECHANICAL COMPARISON | reload was accepted, transferred ammunition and completed
PASS | 12-GAUGE PUMP / DIM / SIDEWAYS FIRE | at least three actual discharges
PASS | 12-GAUGE PUMP / DIM / SIDEWAYS FIRE | existing flash light follows muzzle (max error 0.0000 cm)
PASS | 12-GAUGE PUMP / DIM / SIDEWAYS FIRE | shaped flash follows muzzle (max error 0.0000 cm)
PASS | 12-GAUGE PUMP / DIM / SIDEWAYS FIRE | shots use this frame's evaluated muzzle (max error 0.0000 cm, stale samples 0)
PASS | 12-GAUGE PUMP / DIM / SIDEWAYS FIRE | six-variant bank selections do not immediately repeat
PASS | 12-GAUGE PUMP / DIM / SIDEWAYS FIRE | muzzle light expires after firing
PASS | 12-GAUGE PUMP / DIM / SIDEWAYS FIRE | shaped flash expires after firing
PASS | 12-GAUGE PUMP / DIM / DIAGONAL SPRINT / FIRE | at least three actual discharges
PASS | 12-GAUGE PUMP / DIM / DIAGONAL SPRINT / FIRE | existing flash light follows muzzle (max error 0.0000 cm)
PASS | 12-GAUGE PUMP / DIM / DIAGONAL SPRINT / FIRE | shaped flash follows muzzle (max error 0.0000 cm)
PASS | 12-GAUGE PUMP / DIM / DIAGONAL SPRINT / FIRE | shots use this frame's evaluated muzzle (max error 0.0000 cm, stale samples 0)
PASS | 12-GAUGE PUMP / DIM / DIAGONAL SPRINT / FIRE | six-variant bank selections do not immediately repeat
PASS | 12-GAUGE PUMP / DIM / DIAGONAL SPRINT / FIRE | muzzle light expires after firing
PASS | 12-GAUGE PUMP / DIM / DIAGONAL SPRINT / FIRE | shaped flash expires after firing
PASS | 12-GAUGE PUMP / DIM / MOVEMENT / RAPID AIM | at least three actual discharges
PASS | 12-GAUGE PUMP / DIM / MOVEMENT / RAPID AIM | existing flash light follows muzzle (max error 0.0000 cm)
PASS | 12-GAUGE PUMP / DIM / MOVEMENT / RAPID AIM | shaped flash follows muzzle (max error 0.0000 cm)
PASS | 12-GAUGE PUMP / DIM / MOVEMENT / RAPID AIM | shots use this frame's evaluated muzzle (max error 0.0000 cm, stale samples 0)
PASS | 12-GAUGE PUMP / DIM / MOVEMENT / RAPID AIM | six-variant bank selections do not immediately repeat
PASS | 12-GAUGE PUMP / DIM / MOVEMENT / RAPID AIM | muzzle light expires after firing
PASS | 12-GAUGE PUMP / DIM / MOVEMENT / RAPID AIM | shaped flash expires after firing

Failures: 0
Captured frames: 2805
