capture_frame_index,elapsed_start_seconds,event_count,FrameTime_ms,RenderThreadTime_ms,GameThreadTime_ms,RHIThreadTime_ms,PhysicsVerbose/AllWorkers/StepSolver_ms,PhysicsVerbose/AllWorkers/StepSolver_Integrate_ms,PhysicsVerbose/AllWorkers/StepSolver_KinematicTargets_ms,PhysicsVerbose/AllWorkers/StepSolver_UpdateConstraintPositionBasedState_ms,PhysicsVerbose/AllWorkers/StepSolver_ComputeIntermediateSpatialAcceleration_ms,PhysicsVerbose/AllWorkers/StepSolver_IntegrateKinematicSpatial_ms,PhysicsVerbose/AllWorkers/DetectCollisions_BroadPhase_ms,PhysicsVerbose/AllWorkers/DetectCollisions_NarrowPhase_ms,PhysicsVerbose/AllWorkers/StepSolver_DetectCollisions_ms,PhysicsVerbose/AllWorkers/CCD_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateConstraintGraph_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateIslands_ms,PhysicsVerbose/AllWorkers/StepSolver_PruneCollisions_ms,PhysicsVerbose/AllWorkers/StepSolver_ReloadCacheTotalSerialized_ms,PhysicsVerbose/AllWorkers/StepSolver_BuildGroups_ms,PhysicsVerbose/AllWorkers/StepSolver_PerIslandSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_CCDCorrection_ms,PhysicsVerbose/AllWorkers/StepSolver_SavePostSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_DeactivateSleep_ms,PhysicsVerbose/AllWorkers/StepSolver_AdvanceOneTimeStepImpl_ms,PhysicsVerbose/AllWorkers/StepSolver_PullData_ms,PhysicsVerbose/AllWorkers/StepSolver_IslandEndTick_ms,PhysicsVerbose/GameThread/AcquireSceneWriteLock_ms,ONEPhysicality/GameThread/RegionalDamage_ms,ONEPhysicality/GameThread/BloodFixedStep_ms,ONEPhysicality/GameThread/StumpCollisionTransfer_ms,ONEPhysicality/GameThread/RagdollInitialize_ms,PhysicsVerbose/AllWorkers/StepSolver_Gather_ms,Chaos/AllWorkers/ApplyConstraints_ms,PhysicsVerbose/AllWorkers/StepSolver_Scatter_ms,ONEPhysicality/GameThread/RagdollRest_ms,ONEPhysicality/GameThread/PartInitialize_ms,PhysicsCounters/NumDisabledBodies_native,PhysicsCounters/NumBodies_native,PhysicsCounters/NumDynamicBodies_native,PhysicsCounters/NumKinematicBodies_native,PhysicsCounters/NumStaticBodies_native,PhysicsCounters/NumMovingBodies_native,PhysicsCounters/NumGeometryCollectionBodies_native,PhysicsCounters/NumIslands_native,PhysicsCounters/NumIslandGroups_native,PhysicsCounters/NumContacts_native,PhysicsCounters/NumJoints_native,PhysicsCounters/NumCharacterGroundConstraints_native,PhysicsCounters/NumValidConstraints_native,PhysicsCounters/NumActiveConstraints_native,PhysicsCounters/NumRestoredConstraints_native,PhysicsCounters/NumManifoldPoints_native,PhysicsCounters/NumActiveManifoldPoints_native,PhysicsCounters/NumRestoredManifoldPoints_native,PhysicsCounters/NumUpdatedManifoldPoints_native,PhysicsCounters/NumStaticShapes_native,PhysicsCounters/NumKinematicShapes_native,PhysicsCounters/NumDynamicShapes_native,PhysicsCounters/NumBroadPhasePairs_native,PhysicsCounters/NumMidPhases_native,PhysicsCounters/NumPositionIterations_native,PhysicsCounters/NumVelocityIterations_native,PhysicsCounters/NumProjectionIterations_native,ONEPhysicality/Live_native,ONEPhysicality/RigidBodies_native,ONEPhysicality/Awake_native,ONEPhysicality/Wounds_native,ONEPhysicality/Phase_native,ONEPhysicality/Droplets_native,ONEPhysicality/Pools_native,ONEPhysicality/ProjectionTraces_native
10,0.08205889999999999,0,8.377,1.647,1.2599,1.1978,0.1469,0.0029,0.0042,0.0002,0.0337,0.0437,0.0025,0.0011,0.0118,0.0002,0.0012,0.0017,0.0005,0.0001,0.0087,0.0015,0.0006,0.0001,0.0015,0.0871,0.0177,0.0001,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.09043589999999999,0,8.1257,1.7787,1.1557,1.2063,0.1351,0.002,0.0053,0.0002,0.0295,0.0397,0.0032,0.0012,0.0104,0.0005,0.0015,0.0022,0.0001,0.0001,0.0093,0.0016,0.0006,0.0001,0.0013,0.0817,0.0268,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.09856159999999999,0,8.7565,1.7963,1.3061,1.2466,0.2061,0.0076,0.0056,0.0003,0.0433,0.0609,0.0041,0.0022,0.0172,0.0001,0.0023,0.0027,0.0002,0.0001,0.0141,0.0021,0.0005,0.0002,0.0018,0.1239,0.0197,0.0002,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.10731809999999999,0,8.4217,2.0005,1.5615,1.4388,0.191,0.0055,0.0045,0.0007,0.0392,0.0544,0.0035,0.002,0.0159,0.0002,0.0028,0.0025,0.0002,0.0002,0.0145,0.0022,0.0005,0.0001,0.0023,0.115,0.0204,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.11573979999999999,0,8.1188,1.9292,1.4129,1.3712,0.148,0.0029,0.0027,0.0004,0.0267,0.0366,0.0031,0.0017,0.0148,0.0001,0.0027,0.0032,0.0001,0.0001,0.014,0.0019,0.001,0.0003,0.0015,0.0949,0.0195,0.0001,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.12385859999999999,0,8.6812,1.8987,1.4704,1.3774,0.2156,0.0067,0.0063,0.0004,0.0476,0.0653,0.0051,0.0016,0.0186,0.0003,0.0028,0.0036,0.0002,0.0002,0.0153,0.0023,0.0006,0.0004,0.0019,0.1303,0.024,0.0001,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.13253979999999999,0,8.1579,2.0352,1.7399,1.3689,0.206,0.0058,0.0043,0.0004,0.0486,0.0638,0.0052,0.0021,0.0193,0.0003,0.0026,0.0028,0.0001,0.0002,0.0132,0.0021,0.0007,0.0001,0.0026,0.1282,0.0224,0.0001,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.14069769999999998,0,8.1396,2.0463,1.3639,1.3083,0.1516,0.0019,0.0054,0.0004,0.0362,0.0469,0.0036,0.0017,0.015,0.0002,0.0029,0.0025,0.0002,0.0002,0.0122,0.0019,0.0005,0.0002,0.0013,0.1023,0.0185,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.14883729999999998,0,8.418,1.9951,1.4115,2.5291,0.1876,0.0039,0.0065,0.0004,0.0348,0.0493,0.0035,0.0018,0.0131,0.0002,0.003,0.0023,0.0001,0.0006,0.0134,0.0025,0.0006,0.0002,0.0018,0.1058,0.0191,0.0001,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.1572553,0,8.4056,1.913,1.4642,1.4321,0.2376,0.0075,0.0053,0.0007,0.0554,0.0726,0.0051,0.0019,0.0221,0.0003,0.0036,0.0031,0.0002,0.0002,0.0156,0.0024,0.0007,0.0002,0.0027,0.1489,0.0261,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.1656609,0,8.318,1.9091,1.5452,1.4173,0.1847,0.0052,0.006,0.0004,0.0373,0.0528,0.0041,0.0014,0.0156,0.0001,0.0022,0.0024,0.0003,0.0002,0.0119,0.002,0.0007,0.0,0.0018,0.1084,0.0231,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.1739789,0,8.2637,1.992,1.4075,1.4159,0.1651,0.0023,0.0054,0.0003,0.0272,0.0383,0.0032,0.0012,0.0141,0.0006,0.0021,0.0019,0.0002,0.0001,0.012,0.0024,0.0007,0.0002,0.002,0.0912,0.018,0.0002,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.1822426,0,8.2577,1.8348,1.3764,1.395,0.1889,0.0043,0.0086,0.0004,0.0428,0.0601,0.0039,0.0014,0.0166,0.0003,0.002,0.0024,0.0001,0.0001,0.0112,0.0023,0.0006,0.0,0.0023,0.1178,0.0196,0.0001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.1905003,0,8.3795,1.7421,1.3271,1.3829,0.1761,0.0021,0.0053,0.0005,0.0353,0.047,0.0035,0.0014,0.0123,0.0001,0.002,0.0021,0.0001,0.0002,0.0116,0.0024,0.0006,0.0001,0.0028,0.1041,0.0199,0.0001,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.19887980000000002,0,8.3184,1.7667,1.3909,1.2871,0.1838,0.0037,0.0059,0.0005,0.0384,0.0527,0.0044,0.0019,0.0167,0.0003,0.0019,0.0022,0.0001,0.0001,0.0113,0.0024,0.0005,0.0002,0.0021,0.1132,0.02,0.0001,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.20719820000000003,0,8.5773,1.809,1.4255,1.3423,0.1873,0.0032,0.0066,0.0004,0.0298,0.0436,0.0041,0.0016,0.0175,0.0003,0.0027,0.0024,0.0002,0.0002,0.0139,0.0025,0.0006,0.0001,0.0027,0.106,0.022,0.0001,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.21577550000000004,0,8.167,1.9702,1.6248,1.4017,0.2122,0.0042,0.0075,0.0004,0.0496,0.0653,0.0047,0.0013,0.0174,0.0003,0.0022,0.0025,0.0002,0.0002,0.0147,0.0026,0.0007,0.0001,0.0029,0.129,0.0221,0.0001,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.22394250000000004,0,8.4069,2.0733,1.4611,1.3561,0.2236,0.004,0.0066,0.0005,0.0473,0.0621,0.0036,0.0013,0.0143,0.0003,0.0021,0.0026,0.0001,0.0002,0.012,0.0019,0.0296,0.0001,0.0021,0.1441,0.022,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.23234940000000004,0,8.1579,1.9189,1.3725,1.2336,0.1773,0.004,0.0053,0.0007,0.0419,0.0558,0.0031,0.0011,0.0143,0.0003,0.0017,0.0018,0.0002,0.0001,0.01,0.0017,0.0005,0.0,0.0024,0.1058,0.0209,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.24050730000000003,0,8.4145,1.7658,1.3924,1.3966,0.1953,0.0036,0.0055,0.0004,0.0481,0.0612,0.0047,0.0016,0.0153,0.0003,0.0024,0.0033,0.0002,0.0001,0.0113,0.0024,0.0005,0.0001,0.0024,0.1188,0.0237,0.0001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.24892180000000003,0,8.3815,1.8004,1.4517,1.427,0.1982,0.0046,0.0078,0.0007,0.0436,0.0613,0.0041,0.0013,0.0161,0.0003,0.0023,0.002,0.0002,0.0002,0.0124,0.0022,0.0006,0.0002,0.0025,0.1187,0.0193,0.0001,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.2573033,0,8.1763,2.0105,1.352,1.303,0.1623,0.0022,0.0081,0.0004,0.0287,0.0423,0.0033,0.0019,0.0147,0.0003,0.0019,0.0019,0.0003,0.0003,0.0114,0.0018,0.0006,0.0002,0.0026,0.0952,0.017,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,13.0,63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
